Customer_id,Purchase_date,Product_category,Product_price,Quantity,Total_amount,Payment_Method,Customer_Age,Returns,Customer_name,Age,Gender,Churn
44605,03-05-2023 21:30,Home,177,1,2427,PayPal,31,1,John Rivera,31,Female,0
44605,16-05-2021 13:57,Electronics,174,3,2448,PayPal,31,1,John Rivera,31,Female,0
44605,13-07-2020 06:16,Books,413,1,2345,Credit Card,31,1,John Rivera,31,Female,0
44605,17-01-2023 13:14,Electronics,396,3,937,Cash,31,0,John Rivera,31,Female,0
44605,01-05-2021 11:29,Books,259,4,2598,PayPal,31,1,John Rivera,31,Female,0
13738,25-08-2022 06:48,Home,191,3,3722,Credit Card,27,1,Lauren Johnson,27,Female,0
13738,25-07-2023 05:17,Electronics,205,1,2773,Credit Card,27,,Lauren Johnson,27,Female,0
13738,05-02-2023 19:31,Books,370,5,1486,Cash,27,1,Lauren Johnson,27,Female,0
13738,21-12-2021 03:29,Home,12,2,2175,Cash,27,,Lauren Johnson,27,Female,0
13738,09-02-2023 00:53,Electronics,40,4,4327,Cash,27,0,Lauren Johnson,27,Female,0
33969,28-02-2023 19:58,Clothing,410,3,5018,Credit Card,27,,Carol Allen,27,Male,0
33969,05-01-2023 11:15,Home,304,1,3883,PayPal,27,1,Carol Allen,27,Male,0
33969,18-07-2023 23:36,Books,54,2,4187,PayPal,27,0,Carol Allen,27,Male,0
33969,20-12-2021 23:44,Electronics,428,4,2289,Cash,27,0,Carol Allen,27,Male,0
33969,07-03-2020 21:31,Books,281,1,3810,Cash,27,0,Carol Allen,27,Male,0
33969,21-07-2022 04:25,Home,193,2,3198,Credit Card,27,0,Carol Allen,27,Male,0
33969,05-07-2023 15:01,Clothing,473,3,2881,Credit Card,27,1,Carol Allen,27,Male,0
42650,18-10-2020 23:38,Books,127,5,3347,Cash,20,0,Curtis Smith,20,Female,0
42650,17-05-2020 17:02,Home,284,2,3531,Credit Card,20,1,Curtis Smith,20,Female,0
42650,18-03-2022 13:52,Electronics,256,2,3548,Credit Card,20,0,Curtis Smith,20,Female,0
42650,21-04-2021 07:58,Clothing,252,2,1775,Credit Card,20,1,Curtis Smith,20,Female,0
42650,26-01-2022 12:50,Electronics,105,2,3721,Credit Card,20,,Curtis Smith,20,Female,0
42650,11-11-2020 07:19,Electronics,193,2,3266,PayPal,20,1,Curtis Smith,20,Female,0
42650,29-04-2023 23:31,Home,43,1,2312,Cash,20,0,Curtis Smith,20,Female,0
42650,04-07-2022 16:04,Home,30,5,642,PayPal,20,1,Curtis Smith,20,Female,0
42650,01-08-2021 05:27,Electronics,30,3,5024,Credit Card,20,1,Curtis Smith,20,Female,0
42650,24-05-2020 06:45,Electronics,307,3,973,PayPal,20,,Curtis Smith,20,Female,0
42650,24-03-2022 00:05,Electronics,254,1,3865,PayPal,20,0,Curtis Smith,20,Female,0
42650,02-09-2022 04:00,Books,12,3,3112,Cash,20,1,Curtis Smith,20,Female,0
42650,14-11-2021 10:23,Books,66,3,250,PayPal,20,1,Curtis Smith,20,Female,0
24053,17-11-2020 13:14,Electronics,102,2,5206,Credit Card,53,1,Jose Green,53,Male,0
24053,07-05-2021 09:54,Books,187,5,629,PayPal,53,1,Jose Green,53,Male,0
24053,07-09-2022 05:06,Books,86,1,843,Credit Card,53,1,Jose Green,53,Male,0
24053,05-07-2020 06:30,Electronics,364,3,1008,Credit Card,53,0,Jose Green,53,Male,0
24053,11-01-2022 10:56,Books,210,2,4567,Credit Card,53,0,Jose Green,53,Male,0
19676,12-01-2022 22:49,Clothing,304,3,4869,PayPal,57,1,Linda Lee,57,Male,0
19676,26-06-2021 23:49,Electronics,329,1,3391,Cash,57,1,Linda Lee,57,Male,0
19676,30-06-2022 06:11,Clothing,306,4,1712,Credit Card,57,1,Linda Lee,57,Male,0
19676,20-04-2020 14:08,Electronics,165,5,603,Credit Card,57,0,Linda Lee,57,Male,0
19676,23-03-2021 17:36,Electronics,218,4,2866,PayPal,57,,Linda Lee,57,Male,0
19917,16-05-2023 01:34,Clothing,392,3,1378,Credit Card,34,,Joshua Davis,34,Male,1
19917,27-10-2021 16:25,Clothing,238,3,1760,Credit Card,34,,Joshua Davis,34,Male,1
19917,09-12-2021 07:43,Books,174,5,4517,Credit Card,34,,Joshua Davis,34,Male,1
19917,18-10-2022 22:58,Electronics,41,2,743,Cash,34,,Joshua Davis,34,Male,1
16051,20-08-2021 23:25,Books,118,2,3672,Cash,45,0,Ellen Kent,45,Male,0
16051,14-02-2020 04:47,Clothing,14,4,2733,PayPal,45,0,Ellen Kent,45,Male,0
16051,28-11-2021 19:39,Home,424,1,631,Cash,45,,Ellen Kent,45,Male,0
16051,30-10-2020 10:38,Clothing,351,5,716,PayPal,45,0,Ellen Kent,45,Male,0
16051,25-11-2020 09:05,Clothing,89,1,3577,PayPal,45,1,Ellen Kent,45,Male,0
16051,13-09-2020 15:30,Home,287,3,3908,Cash,45,0,Ellen Kent,45,Male,0
16051,29-08-2021 21:13,Home,400,3,4889,Cash,45,1,Ellen Kent,45,Male,0
16051,19-04-2022 10:30,Clothing,22,2,4490,Credit Card,45,1,Ellen Kent,45,Male,0
16051,31-05-2020 20:52,Home,23,1,3820,Credit Card,45,0,Ellen Kent,45,Male,0
23734,02-11-2021 23:13,Clothing,14,1,5020,Credit Card,18,1,Cheryl Espinoza,18,Male,0
23734,21-09-2022 19:10,Electronics,75,1,289,PayPal,18,0,Cheryl Espinoza,18,Male,0
23734,09-02-2020 15:44,Books,283,5,2673,Cash,18,0,Cheryl Espinoza,18,Male,0
23734,19-06-2021 06:41,Clothing,31,4,4894,Cash,18,1,Cheryl Espinoza,18,Male,0
16921,24-01-2023 16:52,Books,51,3,1881,PayPal,54,1,Cheyenne James,54,Male,0
16921,04-02-2020 14:27,Clothing,350,2,1752,Cash,54,1,Cheyenne James,54,Male,0
16921,07-01-2021 00:04,Home,66,1,2892,Cash,54,0,Cheyenne James,54,Male,0
16921,21-03-2022 07:29,Home,47,3,4714,PayPal,54,1,Cheyenne James,54,Male,0
16921,22-04-2021 22:10,Electronics,500,2,988,Cash,54,1,Cheyenne James,54,Male,0
16921,31-12-2020 10:48,Home,249,2,3171,Credit Card,54,1,Cheyenne James,54,Male,0
7796,16-09-2022 13:46,Clothing,195,1,3818,PayPal,21,1,Lisa Dennis,21,Male,0
7796,22-10-2022 12:12,Electronics,145,2,2134,PayPal,21,0,Lisa Dennis,21,Male,0
7796,12-11-2020 20:33,Home,381,3,368,Cash,21,1,Lisa Dennis,21,Male,0
7796,21-02-2022 03:50,Clothing,169,5,4986,PayPal,21,0,Lisa Dennis,21,Male,0
21035,03-09-2022 16:41,Electronics,443,2,1884,Credit Card,50,1,Peter Watson,50,Female,1
21035,15-06-2021 06:53,Electronics,116,3,2334,Credit Card,50,0,Peter Watson,50,Female,1
21035,22-08-2021 14:09,Home,500,1,698,Credit Card,50,1,Peter Watson,50,Female,1
21035,28-11-2020 15:28,Home,249,1,2925,Credit Card,50,0,Peter Watson,50,Female,1
21035,15-03-2020 18:45,Books,112,4,793,PayPal,50,0,Peter Watson,50,Female,1
21035,27-01-2021 18:26,Electronics,457,2,2919,PayPal,50,1,Peter Watson,50,Female,1
21035,09-09-2023 18:11,Home,237,2,1088,Cash,50,1,Peter Watson,50,Female,1
37125,08-06-2021 15:13,Electronics,207,5,783,Credit Card,24,,Terry Campos,24,Female,0
37125,23-08-2022 18:10,Electronics,311,2,2992,Cash,24,0,Terry Campos,24,Female,0
37125,30-11-2022 07:04,Home,158,4,1047,Cash,24,0,Terry Campos,24,Female,0
41840,16-09-2022 18:06,Clothing,10,5,3540,Credit Card,48,0,Ronald Berger,48,Male,0
41840,14-05-2023 09:50,Home,418,4,1599,Credit Card,48,,Ronald Berger,48,Male,0
41840,10-05-2021 15:05,Electronics,298,3,1837,Cash,48,1,Ronald Berger,48,Male,0
41840,15-04-2021 14:31,Home,389,3,907,Cash,48,0,Ronald Berger,48,Male,0
41840,11-09-2022 22:15,Electronics,251,3,2525,PayPal,48,0,Ronald Berger,48,Male,0
41840,07-06-2022 12:58,Clothing,72,2,869,Credit Card,48,0,Ronald Berger,48,Male,0
41840,12-11-2021 13:57,Electronics,277,5,3975,PayPal,48,0,Ronald Berger,48,Male,0
41840,19-02-2021 22:03,Home,431,2,4053,Cash,48,0,Ronald Berger,48,Male,0
41840,09-09-2023 01:02,Home,369,5,1231,Cash,48,,Ronald Berger,48,Male,0
41840,22-01-2021 06:49,Clothing,137,1,993,Cash,48,1,Ronald Berger,48,Male,0
2642,04-05-2021 02:04,Books,20,5,5089,Cash,67,0,Ian Kelley,67,Female,0
2642,18-05-2020 13:08,Clothing,179,4,4108,Cash,67,0,Ian Kelley,67,Female,0
2642,06-08-2020 02:42,Books,77,1,396,Cash,67,0,Ian Kelley,67,Female,0
2642,18-03-2022 18:13,Clothing,67,3,2261,Cash,67,1,Ian Kelley,67,Female,0
2642,24-08-2021 15:36,Home,387,2,2958,Credit Card,67,1,Ian Kelley,67,Female,0
1254,15-08-2023 03:19,Home,476,1,1687,Cash,70,1,Mr. David Morgan,70,Male,0
1254,21-03-2023 20:00,Home,413,5,3742,Cash,70,0,Mr. David Morgan,70,Male,0
13389,25-08-2023 14:40,Books,408,1,3926,Credit Card,51,,Monica Ramos,51,Male,0
13389,30-09-2021 00:26,Books,296,3,4554,Cash,51,1,Monica Ramos,51,Male,0
13389,10-02-2023 04:59,Clothing,312,2,4477,PayPal,51,1,Monica Ramos,51,Male,0
13389,02-11-2020 19:00,Books,68,4,948,PayPal,51,1,Monica Ramos,51,Male,0
13389,14-07-2022 10:10,Electronics,222,2,1731,Cash,51,,Monica Ramos,51,Male,0
13389,31-07-2020 06:33,Clothing,436,3,5025,PayPal,51,1,Monica Ramos,51,Male,0
13389,02-06-2023 00:07,Books,40,2,2341,Credit Card,51,1,Monica Ramos,51,Male,0
13389,17-04-2023 16:26,Home,495,4,1176,Credit Card,51,0,Monica Ramos,51,Male,0
13389,01-10-2022 09:48,Home,165,2,1664,Cash,51,0,Monica Ramos,51,Male,0
24473,10-01-2021 07:40,Clothing,59,3,1147,Credit Card,38,0,Nicole Lewis,38,Female,0
24473,29-05-2020 23:54,Electronics,474,3,4609,PayPal,38,0,Nicole Lewis,38,Female,0
24473,06-09-2021 16:46,Books,462,1,4042,Credit Card,38,1,Nicole Lewis,38,Female,0
24473,22-05-2023 23:47,Home,436,3,1755,PayPal,38,1,Nicole Lewis,38,Female,0
24473,28-10-2021 16:22,Clothing,128,4,1132,Credit Card,38,1,Nicole Lewis,38,Female,0
11230,11-12-2020 02:42,Home,219,2,2628,Credit Card,23,0,Rebecca Boyer,23,Male,0
11230,21-04-2021 17:47,Electronics,296,5,2232,PayPal,23,1,Rebecca Boyer,23,Male,0
11230,29-04-2020 06:31,Clothing,164,2,4402,Credit Card,23,0,Rebecca Boyer,23,Male,0
11230,19-03-2021 13:44,Books,17,4,3658,Cash,23,0,Rebecca Boyer,23,Male,0
11230,22-11-2021 13:21,Home,387,2,4071,Credit Card,23,1,Rebecca Boyer,23,Male,0
11230,08-07-2023 09:56,Clothing,37,3,579,Cash,23,,Rebecca Boyer,23,Male,0
24741,23-07-2022 10:50,Home,369,1,3026,PayPal,50,1,Steven Mcmillan,50,Female,0
24741,05-06-2022 02:09,Electronics,87,4,688,Cash,50,1,Steven Mcmillan,50,Female,0
24741,08-10-2022 19:22,Electronics,230,3,2080,PayPal,50,,Steven Mcmillan,50,Female,0
24741,12-12-2021 08:53,Home,193,4,3730,Credit Card,50,0,Steven Mcmillan,50,Female,0
24741,31-07-2020 02:27,Books,149,2,1377,Cash,50,0,Steven Mcmillan,50,Female,0
24741,21-06-2020 15:04,Books,385,4,5083,Cash,50,,Steven Mcmillan,50,Female,0
10191,19-02-2022 19:43,Electronics,229,5,3553,PayPal,66,1,Walter Griffin,66,Male,0
10191,08-02-2021 03:02,Home,205,1,2333,Credit Card,66,1,Walter Griffin,66,Male,0
10191,18-02-2023 02:33,Home,485,5,1050,PayPal,66,,Walter Griffin,66,Male,0
10191,07-12-2021 05:36,Books,498,4,705,Cash,66,0,Walter Griffin,66,Male,0
10191,01-05-2021 06:30,Home,334,3,2542,Cash,66,0,Walter Griffin,66,Male,0
10191,20-12-2021 15:38,Electronics,118,2,2304,Credit Card,66,1,Walter Griffin,66,Male,0
10191,15-07-2020 10:22,Books,285,3,5091,Credit Card,66,0,Walter Griffin,66,Male,0
