"Customer_id";"customername";"gender";"age";"total_purchases";"total_spent";"avg_purchase_value";"churn"
44605;"John Rivera";"Female";31;5;10755.0;2151.0;0
13738;"Lauren Johnson";"Female";27;5;14483.0;2896.6;0
33969;"Carol Allen";"Male";27;7;25266.0;3609.4286;0
42650;"Curtis Smith";"Female";20;13;35366.0;2720.4615;0
24053;"Jose Green";"Male";53;5;12253.0;2450.6;0
19676;"Linda Lee";"Male";57;5;13441.0;2688.2;0
19917;"Joshua Davis";"Male";34;4;8398.0;2099.5;1
16051;"Ellen Kent";"Male";45;9;28436.0;3159.5556;0
23734;"Cheryl Espinoza";"Male";18;4;12876.0;3219.0;0
16921;"Cheyenne James";"Male";54;6;15398.0;2566.3333;0
7796;"Lisa Dennis";"Male";21;4;11306.0;2826.5;0
21035;"Peter Watson";"Female";50;7;12641.0;1805.8571;1
37125;"Terry Campos";"Female";24;3;4822.0;1607.3333;0
41840;"Ronald Berger";"Male";48;10;21529.0;2152.9;0
2642;"Ian Kelley";"Female";67;5;14812.0;2962.4;0
1254;"Mr. David Morgan";"Male";70;2;5429.0;2714.5;0
13389;"Monica Ramos";"Male";51;9;25842.0;2871.3333;0
24473;"Nicole Lewis";"Female";38;5;12685.0;2537.0;0
11230;"Rebecca Boyer";"Male";23;6;17570.0;2928.3333;0
24741;"Steven Mcmillan";"Female";50;6;15984.0;2664.0;0
10191;"Walter Griffin";"Male";66;11;33332.0;3030.1818;0
6829;"Chelsea Williams";"Male";43;4;12307.0;3076.75;0
16825;"Melissa Cabrera";"Male";37;5;12419.0;2483.8;1
18467;"Terri Carter";"Male";23;9;22152.0;2461.3333;0
34857;"Alexander Morse";"Male";57;8;17249.0;2156.125;1
21801;"Anne Leblanc";"Female";19;4;6247.0;1561.75;0
11769;"John Jones";"Male";65;2;3241.0;1620.5;0
22193;"Kyle Smith";"Male";27;5;14451.0;2890.2;0
7340;"Kim Mcdonald";"Male";35;6;13826.0;2304.3333;1
31538;"Joshua Maynard";"Male";37;7;25755.0;3679.2857;0
33511;"Kathleen Brown";"Male";56;7;22157.0;3165.2857;1
5952;"Elizabeth Ingram";"Male";55;5;11462.0;2292.4;0
48449;"Mrs. Stacy Brown DDS";"Male";31;6;18751.0;3125.1667;0
17203;"James Roberson";"Male";62;6;22019.0;3669.8333;0
2695;"Andrea Ross";"Female";45;8;20339.0;2542.375;0
15079;"Christine Stanton";"Male";24;7;23433.0;3347.5714;0
21450;"Christopher Barber";"Female";39;7;22493.0;3213.2857;1
11738;"Cynthia Taylor";"Male";64;4;11313.0;2828.25;0
15595;"Stephen Hughes";"Male";40;7;23360.0;3337.1429;0
44311;"Lauren Torres";"Female";49;8;29340.0;3667.5;1
31852;"Amber Watson";"Male";70;3;7202.0;2400.6667;1
46881;"Matthew Navarro";"Male";40;5;17142.0;3428.4;0
14652;"George Johnson Jr.";"Female";31;11;28061.0;2551.0;0
835;"Richard Smith";"Male";59;5;16762.0;3352.4;0
26275;"Colton Guerra";"Female";64;4;14852.0;3713.0;0
37795;"Steven Mccullough";"Male";62;6;14044.0;2340.6667;0
4553;"Roy Rosales";"Female";19;6;17693.0;2948.8333;0
6656;"Stacy Melendez";"Female";19;7;18171.0;2595.8571;0
45727;"April Reynolds";"Female";61;8;20313.0;2539.125;0
5243;"Kendra Bates";"Male";70;6;14159.0;2359.8333;1
32153;"Megan Perry";"Female";28;4;15587.0;3896.75;0
46689;"Jessica Lopez";"Female";34;10;29013.0;2901.3;0
8034;"Patrick Salinas";"Male";30;8;23099.0;2887.375;1
49818;"Kaylee Evans";"Female";67;8;29287.0;3660.875;0
37983;"Victoria Michael";"Male";67;3;6606.0;2202.0;0
13184;"Michael Daniels";"Female";62;6;18846.0;3141.0;0
23699;"Tina Murray";"Male";59;9;20743.0;2304.7778;1
15531;"Julie Molina";"Female";34;3;4081.0;1360.3333;0
33338;"Christine Dixon";"Male";58;5;14476.0;2895.2;1
